Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1980-10-01,3.51447148924953,3.26960105301451,-0.0758916797803308,0.273258887158363,5.53982609492434,,,,,,,,,,,,,,,,,,,1980-10-01,1.79837476645041,1.09133858269909,0.416219228605366,,,3.17990575997369,3.40324033192868,-0.557207283786842,-1.0411165136527
1981-01-01,3.77732985149563,3.52221046940974,-0.0904248188427427,0.337998545665528,6.54756352418787,,,,,,,,,,,,,,,,,,,1981-01-01,1.81106709358284,1.09073709734915,0.418245776570073,,,3.16676952611455,3.39178059204662,-0.557759527326655,-0.722112196262287
1981-04-01,3.36007539922032,3.29568728538707,-0.258933175291926,-0.716844914103376,9.49995804707029,,,,,,,,,,,,,,,,,,,1981-04-01,1.79165934162382,1.09181681044026,0.420150976538924,,,3.16909851712614,3.39447452859983,-0.558388759787451,-1.58971198355937
1981-07-01,3.66162780530005,3.58303026373676,-0.27291334631204,-1.54848904474204,9.19033985538951,,,,,,,,,,,,,,,,,,,1981-07-01,1.81765641443188,1.09108229414793,0.421735140198344,,,3.1533080314572,3.38022027144069,-0.558526583533337,-2.13829590818102
1981-10-01,3.33808965984549,3.38193749318446,-0.375630643827529,-2.93526005057618,4.64584315426725,,,,,,,,,,,,,,,,,,,1981-10-01,1.8143769446035,1.09246990236673,0.422969541684451,,,3.15661032185567,3.37890628751222,-0.553781401655145,-3.70501299958539
1982-01-01,2.86861562973482,3.13803052467009,-0.577269368583036,-4.77242803927618,6.68938321872099,,,,,,,,,,,,,,,,,,,1982-01-01,1.83229828485528,1.09590157783454,0.423817532830402,,,3.17996568424374,3.39408216572765,-0.547090737289528,-5.39019231503676
1982-04-01,2.93569726796709,3.270694979564,-0.655867146575373,-5.80392685964875,7.16256986734151,,,,,,,,,,,,,,,,,,,1982-04-01,1.85018334509684,1.09886771091719,0.424468416460612,,,3.19747074043926,3.40298330819653,-0.539360064440589,-6.16312173304607
1982-07-01,2.92612850288907,3.13001090464922,-0.510950115725053,-6.13344319061866,2.12276711696217,,,,,,,,,,,,,,,,,,,1982-07-01,1.8743615561557,1.10309415173391,0.424940854899369,,,3.22617598361564,3.41999087563707,-0.529330905209374,-7.11843535974674
1982-10-01,2.82282523622715,3.07545922514516,-0.554349945324057,-6.74350555417413,0.635673076535069,,,,,,,,,,,,,,,,,,,1982-10-01,1.89926316881925,1.1078797100472,0.425302198197498,,,3.25957521149663,3.44142814007537,-0.519472030856553,-7.69834493983058
1983-01-01,2.93710829020183,3.1829199283228,-0.558069957947164,-6.6477613396836,0.119224275503194,,,,,,,,,,,,,,,,,,,1983-01-01,1.89606110344788,1.11163177368968,0.425427723508268,,,3.2838532751798,3.4570265991643,-0.51232270309512,-7.38870542868801
1983-04-01,2.93292574071179,3.41635198441865,-0.818585265803776,-6.67655693128086,1.21116495263175,,,,,,,,,,,,,,,,,,,1983-04-01,1.88230659777224,1.11353328602763,0.425026723964689,,,3.29266968484998,3.4610535123811,-0.507928264382277,-6.43095984495585
1983-07-01,3.32345975298885,3.46745681259674,-0.484169688123198,-5.0750732819339,-0.0888818101430724,,,,,,,,,,,,,,,,,,,1983-07-01,1.87805884494917,1.11420679902148,0.424051652697992,,,3.29259444384837,3.45905083855244,-0.505804360522653,-5.49136478847925
1983-10-01,3.22821287635317,3.61708946680901,-0.743728834622083,-5.01539647152538,0.796048481791529,,,,,,,,,,,,,,,,,,,1983-10-01,1.88270195006092,1.11349554767456,0.42249710520971,,,3.28188306802817,3.44953989605442,-0.506071728926053,-4.53402389407665
